Transaction ID,Revenue,Expenses
101,7441.35,137.55
102,6799.32,448.25
103,414.65,64.97
104,5656.33,363.69
105,2282.36,302.85
106,3468.48,94.63
107,3861.28,192.31
108,8090.57,370.27
109,880.12,160.73
110,5815.79,358.19
111,7753.38,492.91
112,2851.94,325.13
113,3617.18,341.68
114,6130.4,102.15
115,3856.61,494.97
116,6877.68,424.57
117,8069.95,212.56
118,2205,259.63
119,2722.31,138.38
120,7495.44,225.65
121,2271.28,498.82
122,7582.24,433.33
123,7941.59,222.64
124,5999.3,244.66
125,6834.81,74.98
126,1204.37,228.69
127,9721.69,385.74
128,8432.53,263.68
129,7648.86,278.9
130,4937.2,73.7
131,673.46,441.44
132,8178.63,489.43
133,6631.53,474.49
134,9647.19,465.88
135,4050.02,342.41
136,1297.94,127.85
137,5925.56,23.45
138,2366.52,454.6
139,2856.92,253
140,2505.67,247.03
141,1059.62,226.9
142,8651.98,46
143,700.07,369.54
144,1983.07,235.33
145,4680.02,439.75
146,600.82,499.66
147,1746.48,253.11
148,1729.91,21.03
149,2923.97,354.36
150,1632.49,162.42
151,7504.96,47.44
152,663.11,263.76
153,6784.6,132.9
154,5831.3,39.08
155,9353.59,118.04
156,4018.28,342.41
157,9297.28,469.15
158,825.28,122.31
159,8820.56,442.05
160,4438.03,280.74
161,6711.85,286.21
162,2718.21,447.06
163,2889.39,121.1
164,5103.55,140.54
165,8310.55,41.16
166,1699.66,232.08
167,1207.55,473.62
168,8362.49,299.6
169,514.11,195.03
170,6852.46,340.13
171,9740.99,379.75
172,8826.02,31.9
173,2741.38,397.94
174,8600.07,126.77
175,8223.31,438.24
176,4044.81,153.73
177,6450.67,211.85
178,1241.88,485.79
179,478.75,306.35
180,4420.3,492.43
181,2621.75,360.22
182,3705.79,53.59
183,6667.54,79.82
184,6702.24,176.57
185,1999.22,339.17
186,6193.6,164.46
187,2940.45,226.35
188,4703.38,232.24
189,7957.98,480.72
190,2909.49,338.65
191,8202.39,380.55
192,8084.97,90.73
193,6151.61,388.87
194,7211.62,204.31
195,6594.97,22.66
196,1841.28,479.82
197,5618.32,460.39
198,8034.02,340.44
199,9505.39,447.88
200,8322.63,282.98
201,4555.69,380.85
202,6304.81,151.81
203,2421.49,181.21
204,1593.22,203.86
205,735.87,215.65
206,716.43,419.79
207,8581.65,387.49
208,9433.14,163.33
209,4933.47,151.01
210,3427.68,345.99
211,8421.01,461.38
212,9078.6,304.11
213,6463.22,85.14
214,2675.55,177.13
215,7636.17,201.98
216,4756.04,379.53
217,6536.43,394.99
218,9501.16,115.69
219,2461.59,247.31
220,4703.84,143
221,7800.14,98.61
222,9295.98,296.38
223,852.37,351.49
224,7002.21,164.76
225,7982.65,291.65
226,6649.06,53.1
227,8510.8,414.72
228,6392.29,417.78
229,1843.76,270.44
230,4702.25,416.35
231,8531.96,418.75
232,2514.25,243.06
233,3430.33,257.27
234,2199.99,402.96
235,5602.33,267.98
236,7228.74,254.52
237,6494.44,255.59
238,2293.8,352.06
239,4785.28,274.84
240,3582.92,237.8
241,1294.49,112.44
242,1996.26,374.53
243,9807.06,419.66
244,1876.47,26.79
245,550.61,46.17
246,6414.91,381.34
247,4747.03,231.43
248,9416.53,249.31
249,833.41,322.13
250,8130.31,475.58
251,5624.92,219.76
252,7779.37,202.58
253,3123.26,318.09
254,9481.14,119.74
255,1654.87,103.43
256,4144.32,350.9
257,2391.61,359.34
258,6905.11,463.48
259,4308.88,281.39
260,8283.65,54.28
261,4447.62,244.98
262,9432.49,260.23
263,6020.56,446.92
264,356.06,129.88
265,9995.77,342.7
266,7654.78,104.09
267,9169.12,107.11
268,9693.65,245.6
269,6734.32,431.71
270,2953.36,473.69
271,971.79,141.15
272,6610.84,280.44
273,5232.55,318.86
274,7623.91,117.71
275,4437.35,355.16
276,7126.85,169.16
277,1022.77,496.28
278,6512.33,93.91
279,4213.35,251.6
280,5557.52,204.12
281,8653.87,152.6
282,8223.44,155.76
283,8666.08,234.34
284,5563.98,280.85
285,9809.67,134.63
286,532.11,377.46
287,9885.3,400.35
288,9651.76,80.6
289,8754.48,231.35
290,7252.19,216.79
291,4747.96,485.22
292,6533.38,428.85
293,9545.98,320.86
294,6212.85,132.69
295,7492.99,228.31
296,4492.42,353.12
297,7981.82,160.82
298,2517.55,217.78
299,1833.19,312.56
300,5026.91,299.92
301,4649.75,340.08
302,831.23,473.71
303,6934.1,239.28
304,8548.02,71.19
305,5790.64,496.49
306,2817.36,291.65
307,9115.11,377.68
308,2268.14,111.26
309,6319.66,453.63
310,7907.24,36.01
311,992.32,161.65
312,1408.38,278.92
313,8321.68,143.35
314,8061.9,244.8
315,8615.39,367.62
316,994,209.4
317,4602.38,342.96
318,8241.93,471.34
319,4767.62,317.38
320,6511.76,324.99
321,6527.47,76
322,9959.68,75.74
323,3947.59,198.09
324,5914.67,368.77
325,8353.56,315.51
326,2250.97,233.45
327,9811.18,196.32
328,4041.58,111.11
329,6661.41,328.02
330,7889.27,136.91
331,779.24,387.28
332,8149.22,131.84
333,2845.02,492.33
334,8005.29,72.76
335,3646.6,398.45
336,1825.04,45.15
337,7482.09,248.6
338,4574.85,126.34
339,4634.62,482.73
340,4320.11,71.82
341,9002.74,174.61
342,2822.66,323.88
343,3870.95,306.75
344,1081.87,356.85
345,4357.69,446.28
346,4047.43,370.21
347,6684.57,199.66
348,764.62,419.25
349,7471.43,198.87
350,5906,289.56
351,4167.01,439.33
352,9687.15,308.2
353,1631.83,251.45
354,1237.36,153.71
355,6129.05,335.76
356,1886.12,357.3
357,160.45,437.53
358,788.9,375.67
359,3824.32,237.75
360,7243.8,392.88
361,8845.09,94.68
362,2793.82,337.73
363,4200.42,123.47
364,4356.14,155.96
365,5316.65,168.04
366,176.1,164.68
367,2965.53,77.59
368,1839.38,202.5
369,813.55,433.65
370,4651.57,57.37
371,5776.66,360.56
372,4109.82,483.78
373,8337.06,461.49
374,2508.83,302.66
375,8718.19,377.99
