Partner,QueryResolutionTime(hours),SatisfactionRating,AdHocProjectCompletionRate(%),FeedbackCollected,ProcessOptimizationImpact(%),Date
Partner A,10.08858913237743,5,84.45271963499466,True,10.604396539033429,2023-07-05
Partner A,5.3006996738589685,2,98.4224873049963,False,14.449871871642753,2023-09-05
Partner A,7.218160642111472,4,86.73797047621645,True,7.599419523287192,2023-03-15
Partner B,17.288508614016404,2,83.33420682805772,False,13.529414050314879,2023-07-14
Partner C,19.40617098650257,5,88.1318409071101,False,12.353206570994825,2023-12-06
Partner E,21.3143836745314,3,89.41014543660648,False,13.540095549825224,2023-12-21
Partner B,22.41139726629233,5,90.7955326046452,True,10.514414338819712,2023-01-04
Partner C,34.11436249323809,2,81.14069778683933,False,6.408822437220232,2023-09-19
Partner E,20.23240701866289,2,98.26874491022727,True,8.89009916953068,2023-11-19
Partner C,35.63356139011241,3,95.27141806621975,False,12.150046254114216,2023-12-01
Partner A,42.29113249792544,1,81.00295585715824,False,6.344649484424977,2023-12-17
Partner D,31.09828189514719,5,81.51003109241366,False,6.654555390625633,2023-11-19
Partner D,2.5908327107168785,4,80.25275367565347,True,7.5167300907610715,2023-12-05
Partner A,45.13193738916293,3,89.30031077094921,True,10.356006236180997,2023-01-20
Partner A,20.33394478807093,4,85.39052912971667,False,10.315661483410157,2023-08-16
Partner C,9.710921451270416,4,90.76922362978705,False,6.650432759083422,2023-04-27
Partner E,41.40578696387899,1,87.0767725089881,False,14.870094674669174,2023-09-12
Partner D,7.065654542345429,1,95.09942571305331,False,7.567443662102998,2023-04-24
Partner B,47.37522022354912,3,95.68861123228486,False,8.35136830143256,2023-12-10
Partner A,24.594022633735772,1,94.54975547742134,True,11.717598649486952,2023-02-26
Partner A,33.07967863514439,1,98.2806213366264,False,9.681674767894851,2023-09-13
Partner C,43.236749566144894,5,83.79222890701448,False,13.130889864009918,2023-06-14
Partner D,22.129397288432017,5,90.58084472939063,False,6.869789246581163,2023-05-27
Partner C,23.92668257370203,1,89.5033434426848,True,14.461372727330678,2023-11-17
Partner A,5.529829298167398,3,96.56434558998266,False,13.809834424514584,2023-04-16
Partner D,10.770135781049301,2,91.82171179814527,True,6.2559126357004065,2023-06-12
Partner B,9.749249722215232,5,87.0119448798506,True,8.753178809857479,2023-12-03
Partner A,14.7339715946604,3,89.43476792449152,True,5.387372612087119,2023-03-18
Partner E,18.185319190428704,2,83.16949815956139,False,7.603195719894308,2023-12-23
Partner C,22.005076506826565,3,98.0073458751557,False,11.536675834977048,2023-09-05
Partner C,11.044022792307342,3,81.48719215645744,False,10.94773233036598,2023-03-16
Partner C,9.604052272352913,3,84.46713107798423,True,13.509715023496039,2023-04-12
